depth_mm,age_AD,d18O,d13C
0.3,2000.22,-3.77,-5.55
0.6,1995.22,-3.73,-5.33
0.9,1990.24,-3.64,-4.72
1.2,1985.27,-3.67,-4.45
1.5,1980.31,-3.67,-4.42
1.8,1975.37,-3.71,-4.51
2.1,1970.44,-3.62,-4.54
2.4,1965.52,-3.58,-4.54
2.7,1960.63,-3.77,-5.12
3,1955.74,-3.68,-5.08
3.3,1950.85,-3.58,-4.69
3.6,1945.97,-3.79,-4.5
3.9,1941.08,-3.66,-5.46
4.2,1936.19,-3.66,-5.53
4.5,1931.29,-3.67,-5.62
4.8,1926.44,-3.65,-5.23
5.1,1921.7,-3.58,-5.14
5.4,1917.11,-3.78,-5.21
5.7,1912.75,-3.64,-5.36
6,1908.67,-3.56,-5.19
6.3,1904.93,-3.52,-5.46
6.6,1901.52,-3.65,-5.95
6.9,1898.35,-3.76,-6.22
7.2,1895.31,-3.71,-5.31
7.5,1892.31,-3.48,-5.27
7.8,1889.23,-3.54,-5.27
8.1,1885.99,-3.54,-5.26
8.4,1882.47,-3.49,-4.58
8.7,1878.65,-3.6,-4.16
9,1874.56,-3.69,-4.96
9.3,1870.22,-3.64,-4.69
9.6,1865.66,-3.61,-4.6
9.9,1860.91,-3.56,-4.51
10.2,1855.97,-3.71,-5.04
10.5,1850.89,-3.93,-7.33
10.8,1845.67,-4.05,-7.81
11.1,1840.37,-3.98,-7.69
11.4,1834.98,-3.87,-6.72
11.7,1829.55,-3.9,-6.34
12,1824.1,-4.04,-6.43
12.3,1818.65,-3.97,-6.28
12.6,1813.22,-4.01,-6.1
12.9,1807.8,-3.64,-4.61
13.2,1802.39,-3.77,-4.57
13.5,1796.97,-3.9,-4.81
13.8,1791.53,-3.79,-4.93
14.1,1786.08,-3.84,-5.5
14.4,1780.6,-3.91,-6.17
14.7,1775.09,-3.78,-5.26
15,1769.56,-3.89,-5.32
15,1769.56,-3.88,-5.82
15.3,1764.01,-3.87,-6.74
15.5,1760.31,-4,-6.23
16,1751.04,-3.97,-6.22
16.5,1741.77,-3.96,-6.23
17,1732.49,-3.85,-6.55
17.5,1723.16,-3.74,-6.77
18,1713.73,-3.62,-6.34
18.5,1704.16,-3.55,-5.42
19,1694.48,-3.54,-5.16
19.5,1684.77,-3.58,-5.16
20,1675.1,-3.57,-5.34
20.5,1665.54,-3.59,-5.47
21,1656.04,-3.65,-5.79
21.5,1646.41,-3.69,-5.75
22,1636.51,-3.66,-5.8
22.5,1626.17,-3.76,-5.76
23,1615.49,-3.87,-6.2
23.5,1604.72,-3.63,-5.81
24,1594.12,-3.56,-5.9
24.5,1583.95,-3.77,-6.38
25,1574.21,-3.82,-6.88
25.5,1564.75,-3.89,-7.24
26,1555.39,-3.94,-7.84
26.5,1545.97,-3.54,-6.15
27,1536.41,-3.26,-4.65
27.5,1526.75,-3.17,-4.52
28,1517.01,-3.42,-5.86
28.5,1507.21,-3.58,-6.9
29,1497.39,-3.86,-8.02
29.5,1487.56,-3.79,-7.49
30,1477.77,-3.58,-5.27
30.5,1468.05,-3.43,-4.35
31,1458.39,-3.45,-4.15
31.5,1448.78,-3.56,-4.67
32,1439.2,-3.63,-4.78
32.5,1429.61,-3.64,-4.99
33,1419.99,-3.9,-6.07
33.5,1410.33,-3.86,-6.79
34,1400.59,-3.91,-6.11
34.5,1390.75,-3.79,-5.88
35,1380.73,-4.04,-5.19
35.5,1370.41,-3.68,-5.08
36,1359.67,-3.66,-4.85
36.5,1348.41,-3.86,-6.14
37,1336.76,-3.81,-6.82
37.5,1325.01,-3.83,-6.84
38,1313.49,-3.67,-6.55
38.5,1302.48,-3.46,-5.57
39,1292.08,-3.72,-5.5
39.5,1282.19,-3.92,-4.89
40,1272.74,-3.74,-4.65
40.5,1263.65,-3.78,-4.53
41,1254.83,-3.77,-4.5
41.5,1246.24,-3.61,-4.52
42,1237.8,-3.6,-5.38
42.5,1229.45,-3.51,-5.42
43,1221.3,-3.42,-4.85
43.5,1213.52,-3.55,-5.14
44,1206.3,-3.67,-5.38
44.5,1199.83,-3.47,-5.45
45,1194.04,-3.64,-5.61
45.5,1188.7,-3.57,-5.54
46,1183.55,-3.48,-5.8
46.5,1178.38,-3.65,-5.94
47,1173.21,-3.61,-5.32
47.5,1168.29,-3.67,-5.23
48,1163.87,-3.8,-5.65
48.5,1160.17,-3.7,-5.81
49,1157.03,-3.62,-6.01
49.5,1154,-3.57,-6.01
50,1150.6,-3.59,-6.68
50.5,1146.4,-3.56,-7.22
51,1141.37,-3.66,-7.23
51.5,1135.8,-3.5,-6.67
52,1129.98,-3.55,-6.38
52.5,1124.21,-3.6,-6.94
53,1118.56,-3.55,-7.03
53.5,1113,-3.61,-7.35
54,1107.48,-3.65,-7.46
54.5,1101.93,-3.44,-6.66
55,1096.34,-3.31,-5.59
55.5,1090.72,-3.4,-6.02
56,1085.08,-3.57,-6.7
56.5,1079.41,-3.72,-7.74
57,1073.72,-3.8,-7.63
57.5,1068.01,-3.79,-7.01
58,1062.28,-3.73,-6.55
58.5,1056.52,-3.86,-6.6
59,1050.73,-3.87,-6.66
59.5,1044.92,-3.73,-6.41
60,1039.08,-3.55,-6.74
60.5,1033.23,-3.45,-6.04
61,1027.35,-3.64,-6.19
61.5,1021.44,-3.62,-5.26
62,1015.49,-3.46,-5
62.5,1009.49,-3.45,-5.36
63,1003.4,-3.88,-4.82
63.5,997.19,-3.67,-4.56
64,990.81,-3.75,-5.52
64.5,984.23,-3.85,-5.57
65,977.51,-3.77,-6.01
65.5,970.77,-3.62,-5.76
66,964.17,-3.71,-6.41
66.5,957.82,-3.82,-6.57
67,951.75,-3.77,-5.98
67.5,945.87,-3.77,-6.03
68,940.12,-3.73,-6.3
68.5,934.42,-3.77,-5.83
69,928.76,-3.87,-5.73
69.5,923.21,-3.72,-5.81
70,917.83,-3.85,-5.62
70.5,912.66,-3.83,-5.51
71,907.64,-3.9,-6.17
71.5,902.63,-3.91,-6.66
72,897.46,-3.75,-5.5
72.5,891.99,-3.42,-5.08
73,886.19,-3.77,-6.08
73.5,880.12,-3.86,-6.26
74,873.86,-3.79,-6.32
74.5,867.45,-3.83,-6.3
75,860.82,-3.83,-6.28
