"ID_SAMPLE","Dominant_num","Dominant","Subdominant_num","Subdominant","Third","Third_num"
12349,4,"WTSFS",13,"TEDE",NA,NA
12350,4,"WTSFS",13,"TEDE",NA,NA
12351,4,"WTSFS",13,"TEDE",NA,NA
12352,4,"WTSFS",13,"TEDE",NA,NA
12353,4,"WTSFS",13,"TEDE",NA,NA
12354,4,"WTSFS",13,"TEDE",NA,NA
12355,4,"WTSFS",13,"TEDE",NA,NA
12356,4,"WTSFS",13,"TEDE",NA,NA
12357,4,"WTSFS",13,"TEDE",NA,NA
12358,4,"WTSFS",13,"TEDE",NA,NA
12359,4,"WTSFS",13,"TEDE",NA,NA
12360,4,"WTSFS",13,"TEDE",NA,NA
12361,4,"WTSFS",13,"TEDE",NA,NA
12362,4,"WTSFS",13,"TEDE",NA,NA
12363,4,"WTSFS",13,"TEDE",NA,NA
12364,4,"WTSFS",13,"TEDE",NA,NA
12365,4,"WTSFS",13,"TEDE",NA,NA
12366,4,"WTSFS",13,"TEDE",NA,NA
12367,4,"WTSFS",13,"TEDE",NA,NA
12368,4,"WTSFS",13,"TEDE",NA,NA
12369,4,"WTSFS",13,"TEDE",NA,NA
12370,4,"WTSFS",13,"TEDE",NA,NA
12371,4,"WTSFS",13,"TEDE",NA,NA
12372,4,"WTSFS",13,"TEDE",NA,NA
12373,4,"WTSFS",13,"TEDE",NA,NA
12374,4,"WTSFS",13,"TEDE",NA,NA
12375,4,"WTSFS",13,"TEDE",NA,NA
12376,4,"WTSFS",13,"TEDE",NA,NA
12377,4,"WTSFS",13,"TEDE",NA,NA
12378,4,"WTSFS",13,"TEDE",NA,NA
12379,4,"WTSFS",13,"TEDE",NA,NA
12380,4,"WTSFS",13,"TEDE",NA,NA
12381,4,"WTSFS",13,"TEDE",NA,NA
12382,4,"WTSFS",13,"TEDE",NA,NA
12383,4,"WTSFS",13,"TEDE",NA,NA
12384,4,"WTSFS",13,"TEDE",NA,NA
12385,4,"WTSFS",13,"TEDE",NA,NA
12386,4,"WTSFS",13,"TEDE",NA,NA
12387,4,"WTSFS",13,"TEDE",NA,NA
12388,4,"WTSFS",13,"TEDE",NA,NA
12389,4,"WTSFS",13,"TEDE",NA,NA
12390,4,"WTSFS",13,"TEDE",NA,NA
12391,4,"WTSFS",13,"TEDE",NA,NA
12392,4,"WTSFS",13,"TEDE",NA,NA
12393,4,"WTSFS",13,"TEDE",NA,NA
12394,4,"WTSFS",13,"TEDE",NA,NA
12395,4,"WTSFS",13,"TEDE",NA,NA
12396,4,"WTSFS",13,"TEDE",NA,NA
12397,4,"WTSFS",13,"TEDE",NA,NA
12398,4,"WTSFS",13,"TEDE",NA,NA
12399,4,"WTSFS",13,"TEDE",NA,NA
12400,4,"WTSFS",13,"TEDE",NA,NA
12401,4,"WTSFS",13,"TEDE",NA,NA
12402,4,"WTSFS",13,"TEDE",NA,NA
12403,4,"WTSFS",13,"TEDE",NA,NA
12404,4,"WTSFS",13,"TEDE",NA,NA
12405,4,"WTSFS",13,"TEDE",NA,NA
12406,4,"WTSFS",13,"TEDE",NA,NA
12407,4,"WTSFS",13,"TEDE",NA,NA
12408,4,"WTSFS",13,"TEDE",NA,NA
12409,4,"WTSFS",13,"TEDE",NA,NA
12410,4,"WTSFS",13,"TEDE",NA,NA
12411,4,"WTSFS",13,"TEDE",NA,NA
12412,4,"WTSFS",13,"TEDE",NA,NA
12413,4,"WTSFS",13,"TEDE",NA,NA
12414,4,"WTSFS",13,"TEDE",NA,NA
12415,4,"WTSFS",13,"TEDE",NA,NA
12416,4,"WTSFS",13,"TEDE",NA,NA
12417,4,"WTSFS",13,"TEDE",NA,NA
12418,4,"WTSFS",13,"TEDE",NA,NA
12419,4,"WTSFS",13,"TEDE",NA,NA
12420,4,"WTSFS",13,"TEDE",NA,NA
12421,4,"WTSFS",13,"TEDE",NA,NA
12422,4,"WTSFS",13,"TEDE",NA,NA
12423,4,"WTSFS",13,"TEDE",NA,NA
12424,4,"WTSFS",13,"TEDE",NA,NA
12425,4,"WTSFS",13,"TEDE",NA,NA
12426,4,"WTSFS",13,"TEDE",NA,NA
12427,4,"WTSFS",13,"TEDE",NA,NA
12428,4,"WTSFS",13,"TEDE",NA,NA
12429,4,"WTSFS",13,"TEDE",NA,NA
12430,4,"WTSFS",13,"TEDE",NA,NA
12431,4,"WTSFS",13,"TEDE",NA,NA
12432,4,"WTSFS",13,"TEDE",NA,NA
12433,4,"WTSFS",13,"TEDE",NA,NA
12434,4,"WTSFS",13,"TEDE",NA,NA
12435,4,"WTSFS",13,"TEDE",NA,NA
12436,4,"WTSFS",13,"TEDE",NA,NA
12437,4,"WTSFS",13,"TEDE",NA,NA
12438,4,"WTSFS",13,"TEDE",NA,NA
12439,4,"WTSFS",13,"TEDE",NA,NA
12440,4,"WTSFS",13,"TEDE",NA,NA
12441,4,"WTSFS",13,"TEDE",NA,NA
12442,4,"WTSFS",13,"TEDE",NA,NA
12443,4,"WTSFS",13,"TEDE",NA,NA
12444,4,"WTSFS",13,"TEDE",NA,NA
12445,4,"WTSFS",13,"TEDE",NA,NA
12446,4,"WTSFS",13,"TEDE",NA,NA
12447,4,"WTSFS",13,"TEDE",NA,NA
12448,4,"WTSFS",13,"TEDE",NA,NA
12449,4,"WTSFS",13,"TEDE",NA,NA
12450,4,"WTSFS",13,"TEDE",NA,NA
12451,4,"WTSFS",13,"TEDE",NA,NA
12452,4,"WTSFS",13,"TEDE",NA,NA
12453,4,"WTSFS",13,"TEDE",NA,NA
12454,4,"WTSFS",13,"TEDE",NA,NA
12455,4,"WTSFS",13,"TEDE",NA,NA
12456,4,"WTSFS",13,"TEDE",NA,NA
12457,4,"WTSFS",13,"TEDE",NA,NA
12458,4,"WTSFS",13,"TEDE",NA,NA
12459,4,"WTSFS",13,"TEDE",NA,NA
12460,4,"WTSFS",13,"TEDE",NA,NA
12461,4,"WTSFS",13,"TEDE",NA,NA
12462,4,"WTSFS",13,"TEDE",NA,NA
12463,4,"WTSFS",13,"TEDE",NA,NA
12464,4,"WTSFS",13,"TEDE",NA,NA
12465,4,"WTSFS",13,"TEDE",NA,NA
12466,4,"WTSFS",13,"TEDE",NA,NA
12467,4,"WTSFS",13,"TEDE",NA,NA
12468,4,"WTSFS",13,"TEDE",NA,NA
12469,4,"WTSFS",13,"TEDE",NA,NA
12470,4,"WTSFS",13,"TEDE",NA,NA
12471,4,"WTSFS",13,"TEDE",NA,NA
12472,4,"WTSFS",13,"TEDE",NA,NA
12473,4,"WTSFS",13,"TEDE",NA,NA
12474,4,"WTSFS",13,"TEDE",NA,NA
12475,4,"WTSFS",13,"TEDE",NA,NA
12476,4,"WTSFS",13,"TEDE",NA,NA
12477,4,"WTSFS",13,"TEDE",NA,NA
12478,4,"WTSFS",13,"TEDE",NA,NA
12479,4,"WTSFS",13,"TEDE",NA,NA
12480,4,"WTSFS",13,"TEDE",NA,NA
12481,4,"WTSFS",13,"TEDE",NA,NA
12482,4,"WTSFS",13,"TEDE",NA,NA
12483,4,"WTSFS",13,"TEDE",NA,NA
12484,4,"WTSFS",13,"TEDE",NA,NA
12485,4,"WTSFS",13,"TEDE",NA,NA
12486,4,"WTSFS",13,"TEDE",NA,NA
12487,4,"WTSFS",13,"TEDE",NA,NA
12488,4,"WTSFS",13,"TEDE",NA,NA
12489,4,"WTSFS",13,"TEDE",NA,NA
12490,4,"WTSFS",13,"TEDE",NA,NA
12491,4,"WTSFS",13,"TEDE",NA,NA
12492,4,"WTSFS",13,"TEDE",NA,NA
12493,4,"WTSFS",13,"TEDE",NA,NA
12494,4,"WTSFS",13,"TEDE",NA,NA
2,NA,NA,22,"GRAM",NA,NA
3,NA,NA,22,"GRAM",NA,NA
4,NA,NA,22,"GRAM",NA,NA
5,NA,NA,22,"GRAM",NA,NA
6,NA,NA,22,"GRAM",NA,NA
7,NA,NA,22,"GRAM",NA,NA
8,NA,NA,22,"GRAM",NA,NA
9,NA,NA,22,"GRAM",NA,NA
10,NA,NA,22,"GRAM",NA,NA
11,NA,NA,22,"GRAM",NA,NA
12,NA,NA,22,"GRAM",NA,NA
13,NA,NA,22,"GRAM",NA,NA
14,NA,NA,22,"GRAM",NA,NA
15,NA,NA,22,"GRAM",NA,NA
16,NA,NA,22,"GRAM",NA,NA
17,NA,NA,22,"GRAM",NA,NA
18,NA,NA,22,"GRAM",NA,NA
19,NA,NA,22,"GRAM",NA,NA
20,NA,NA,22,"GRAM",NA,NA
21,NA,NA,22,"GRAM",NA,NA
22,NA,NA,22,"GRAM",NA,NA
23,NA,NA,22,"GRAM",NA,NA
24,NA,NA,22,"GRAM",NA,NA
25,NA,NA,22,"GRAM",NA,NA
26,NA,NA,22,"GRAM",NA,NA
27,NA,NA,22,"GRAM",NA,NA
28,NA,NA,22,"GRAM",NA,NA
29,NA,NA,22,"GRAM",NA,NA
30,NA,NA,22,"GRAM",NA,NA
31,NA,NA,22,"GRAM",NA,NA
32,NA,NA,22,"GRAM",NA,NA
33,NA,NA,22,"GRAM",NA,NA
34,NA,NA,22,"GRAM",NA,NA
35,NA,NA,22,"GRAM",NA,NA
36,NA,NA,22,"GRAM",NA,NA
37,NA,NA,22,"GRAM",NA,NA
38,NA,NA,22,"GRAM",NA,NA
39,NA,NA,22,"GRAM",NA,NA
40,NA,NA,22,"GRAM",NA,NA
41,NA,NA,22,"GRAM",NA,NA
42,NA,NA,22,"GRAM",NA,NA
52,9,"CMIX",17,"ENWD",NA,NA
53,9,"CMIX",17,"ENWD",NA,NA
54,9,"CMIX",17,"ENWD",NA,NA
55,9,"CMIX",17,"ENWD",NA,NA
56,9,"CMIX",17,"ENWD",NA,NA
57,9,"CMIX",17,"ENWD",NA,NA
58,9,"CMIX",17,"ENWD",NA,NA
59,9,"CMIX",17,"ENWD",NA,NA
60,9,"CMIX",17,"ENWD",NA,NA
61,9,"CMIX",17,"ENWD",NA,NA
62,9,"CMIX",17,"ENWD",NA,NA
63,9,"CMIX",17,"ENWD",NA,NA
64,9,"CMIX",17,"ENWD",NA,NA
65,9,"CMIX",17,"ENWD",NA,NA
66,9,"CMIX",17,"ENWD",NA,NA
67,9,"CMIX",17,"ENWD",NA,NA
68,9,"CMIX",17,"ENWD",NA,NA
69,9,"CMIX",17,"ENWD",NA,NA
70,9,"CMIX",17,"ENWD",NA,NA
71,9,"CMIX",17,"ENWD",NA,NA
72,9,"CMIX",17,"ENWD",NA,NA
73,9,"CMIX",17,"ENWD",NA,NA
74,9,"CMIX",17,"ENWD",NA,NA
75,9,"CMIX",17,"ENWD",NA,NA
76,9,"CMIX",17,"ENWD",NA,NA
77,9,"CMIX",17,"ENWD",NA,NA
78,9,"CMIX",17,"ENWD",NA,NA
79,9,"CMIX",17,"ENWD",NA,NA
80,9,"CMIX",17,"ENWD",NA,NA
81,9,"CMIX",17,"ENWD",NA,NA
82,9,"CMIX",17,"ENWD",NA,NA
83,9,"CMIX",17,"ENWD",NA,NA
84,9,"CMIX",17,"ENWD",NA,NA
85,9,"CMIX",17,"ENWD",NA,NA
86,9,"CMIX",17,"ENWD",NA,NA
87,9,"CMIX",17,"ENWD",NA,NA
88,9,"CMIX",17,"ENWD",NA,NA
89,9,"CMIX",17,"ENWD",NA,NA
90,9,"CMIX",17,"ENWD",NA,NA
91,9,"CMIX",17,"ENWD",NA,NA
92,22,"GRAM",NA,NA,NA,NA
93,22,"GRAM",NA,NA,NA,NA
94,22,"GRAM",NA,NA,NA,NA
95,22,"GRAM",NA,NA,NA,NA
96,22,"GRAM",NA,NA,NA,NA
97,22,"GRAM",NA,NA,NA,NA
98,22,"GRAM",NA,NA,NA,NA
99,22,"GRAM",NA,NA,NA,NA
100,22,"GRAM",NA,NA,NA,NA
101,22,"GRAM",NA,NA,NA,NA
102,22,"GRAM",NA,NA,NA,NA
103,22,"GRAM",NA,NA,NA,NA
104,22,"GRAM",NA,NA,NA,NA
105,22,"GRAM",NA,NA,NA,NA
106,22,"GRAM",NA,NA,NA,NA
107,22,"GRAM",NA,NA,NA,NA
108,22,"GRAM",NA,NA,NA,NA
109,22,"GRAM",NA,NA,NA,NA
110,22,"GRAM",NA,NA,NA,NA
111,22,"GRAM",13,"TEDE","ENWD",17
112,22,"GRAM",13,"TEDE","ENWD",17
113,22,"GRAM",13,"TEDE","ENWD",17
114,22,"GRAM",13,"TEDE","ENWD",17
115,22,"GRAM",13,"TEDE","ENWD",17
